                
(-132.4, -100.6, 26.4) (0.0, 0.0, 0.0) (0.9, -0.2, 0.3, -0.2) (-132.4, -100.6, 26.4) (-3.3, -0.9, 2.8) (0.2, 0.9, 0.2, -0.3) (0.0, 0.0, 0.0) False False 0 False False  (-1111.1, -1111.1, -1111.1) (-1111.1, -1111.1, -1111.1) (0.00000, 0.00000, 0.00000) (0.00000, 0.00000, 0.00000, 1.00000) 1(0.5, 0.5, 0.5)CorrodedMetal 0
(-12.6, -65.1, 49.9) (0.0, 0.0, 0.0) (0.3, 0.1, 0.1, 1.0) (-12.6, -65.1, 49.9) (-0.3, 0.0, 3.4) (1.0, -0.3, 0.1, 0.1) (0.0, 0.0, 0.0) False False 0 False False  (-1111.1, -1111.1, -1111.1) (-1111.1, -1111.1, -1111.1) (-0.29703, -0.02742, 3.42730) (0.95447, -0.26720, 0.10306, 0.08353) 1(1.0, 1.0, 1.0)Wood 0.7599999
(-12.6, -65.1, 49.9) (0.0, 0.0, 0.0) (0.3, 0.1, 0.1, 1.0) (-12.6, -65.1, 49.9) (-0.3, 0.0, 3.4) (1.0, -0.3, 0.1, 0.1) (0.0, 0.0, 0.0) False False 0 False False  (-1111.1, -1111.1, -1111.1) (-1111.1, -1111.1, -1111.1) (-0.29703, -0.02742, 3.42730) (0.95447, -0.26720, 0.10306, 0.08353) 1(1.0, 1.0, 1.0)Wood 0.7799999
(-12.6, -65.1, 49.9) (0.0, 0.0, 0.0) (0.3, 0.1, 0.1, 1.0) (-12.6, -65.1, 49.9) (-0.3, 0.0, 3.4) (1.0, -0.3, 0.1, 0.1) (0.0, 0.0, 0.0) False False 0 False False  (-1111.1, -1111.1, -1111.1) (-1111.1, -1111.1, -1111.1) (-0.29703, -0.02742, 3.42730) (0.95447, -0.26720, 0.10306, 0.08353) 1(1.0, 1.0, 1.0)Wood 0.7999998
(-12.6, -65.1, 49.9) (0.0, 0.0, 0.0) (0.3, 0.1, 0.1, 1.0) (-12.6, -65.1, 49.9) (-0.3, 0.0, 3.4) (1.0, -0.3, 0.1, 0.1) (0.0, 0.0, 0.0) False False 0 False False  (-1111.1, -1111.1, -1111.1) (-1111.1, -1111.1, -1111.1) (-0.29703, -0.02742, 3.42730) (0.95447, -0.26720, 0.10306, 0.08353) 1(1.0, 1.0, 1.0)Wood 0.8199998
(-12.6, -65.1, 49.9) (0.0, 0.0, 0.0) (0.3, 0.1, 0.1, 1.0) (-12.6, -65.1, 49.9) (-0.3, 0.0, 3.4) (1.0, -0.3, 0.1, 0.1) (0.0, 0.0, 0.0) False False 0 False False  (-1111.1, -1111.1, -1111.1) (-1111.1, -1111.1, -1111.1) (-0.29703, -0.02742, 3.42730) (0.95447, -0.26720, 0.10306, 0.08353) 1(1.0, 1.0, 1.0)Wood 0.8399998
(-12.6, -65.1, 49.9) (0.0, 0.0, 0.0) (0.3, 0.1, 0.1, 1.0) (-12.6, -65.1, 49.9) (-0.3, 0.0, 3.4) (1.0, -0.3, 0.1, 0.1) (0.0, 0.0, 0.0) False False 0 False False  (-1111.1, -1111.1, -1111.1) (-1111.1, -1111.1, -1111.1) (-0.29703, -0.02742, 3.42730) (0.95447, -0.26720, 0.10306, 0.08353) 1(1.0, 1.0, 1.0)Wood 0.8599998
(-12.6, -65.1, 49.9) (0.0, 0.0, 0.0) (0.3, 0.1, 0.1, 1.0) (-12.6, -65.1, 49.9) (-0.3, 0.0, 3.4) (1.0, -0.3, 0.1, 0.1) (0.0, 0.0, 0.0) False False 0 False False  (-1111.1, -1111.1, -1111.1) (-1111.1, -1111.1, -1111.1) (-0.29703, -0.02742, 3.42730) (0.95447, -0.26720, 0.10306, 0.08353) 1(1.0, 1.0, 1.0)Wood 0.8799998
(-12.6, -65.1, 49.9) (0.0, 0.0, 0.0) (0.3, 0.1, 0.1, 1.0) (-12.6, -65.1, 49.9) (-0.3, 0.0, 3.4) (1.0, -0.3, 0.1, 0.1) (0.0, 0.0, 0.0) False False 0 False False  (-1111.1, -1111.1, -1111.1) (-1111.1, -1111.1, -1111.1) (-0.29703, -0.02742, 3.42730) (0.95446, -0.26703, 0.10370, 0.08329) 1(1.0, 1.0, 1.0)Wood 0.8999997
(-12.6, -65.1, 49.9) (0.0, 0.0, 0.0) (0.3, 0.1, 0.1, 1.0) (-12.6, -65.1, 49.9) (-0.3, 0.0, 3.4) (1.0, -0.3, 0.1, 0.1) (0.0, 0.0, 0.0) False False 0 False False  (-1111.1, -1111.1, -1111.1) (-1111.1, -1111.1, -1111.1) (-0.29703, -0.02742, 3.42730) (0.95446, -0.26703, 0.10370, 0.08329) 1(1.0, 1.0, 1.0)Wood 0.9199997
(-12.6, -65.1, 49.9) (0.0, 0.0, 0.0) (0.3, 0.1, 0.1, 1.0) (-12.6, -65.1, 49.9) (-0.3, 0.0, 3.4) (1.0, -0.3, 0.1, 0.1) (0.0, 0.0, 0.0) False False 0 False False  (-1111.1, -1111.1, -1111.1) (-1111.1, -1111.1, -1111.1) (-0.29703, -0.02742, 3.42730) (0.95446, -0.26703, 0.10370, 0.08329) 1(1.0, 1.0, 1.0)Wood 0.9399997
(-12.6, -65.1, 49.9) (0.0, 0.0, 0.0) (0.3, 0.1, 0.1, 1.0) (-12.6, -65.1, 49.9) (-0.3, 0.0, 3.4) (1.0, -0.3, 0.1, 0.1) (0.0, 0.0, 0.0) False False 0 False False  (-1111.1, -1111.1, -1111.1) (-1111.1, -1111.1, -1111.1) (-0.29703, -0.02742, 3.42730) (0.95446, -0.26703, 0.10370, 0.08329) 1(1.0, 1.0, 1.0)Wood 0.9599997
(-12.6, -65.1, 49.9) (0.0, 0.0, 0.0) (0.3, 0.1, 0.1, 1.0) (-12.6, -65.1, 49.9) (-0.3, 0.0, 3.4) (1.0, -0.3, 0.1, 0.1) (0.0, 0.0, 0.0) False False 0 False False  (-1111.1, -1111.1, -1111.1) (-1111.1, -1111.1, -1111.1) (-0.29703, -0.02742, 3.42730) (0.95446, -0.26703, 0.10370, 0.08329) 1(1.0, 1.0, 1.0)Wood 0.9799997
(-12.6, -65.1, 49.9) (0.0, 0.0, 0.0) (0.3, 0.1, 0.1, 1.0) (-12.6, -65.1, 49.9) (-0.3, 0.0, 3.4) (1.0, -0.3, 0.1, 0.1) (0.0, 0.0, 0.0) False False 0 False False  (-1111.1, -1111.1, -1111.1) (-1111.1, -1111.1, -1111.1) (-0.29703, -0.02742, 3.42730) (0.95446, -0.26703, 0.10370, 0.08329) 1(1.0, 1.0, 1.0)Wood 0.9999996
(-12.6, -65.1, 49.9) (0.0, 0.0, 0.0) (0.3, 0.1, 0.1, 1.0) (-12.6, -65.1, 49.9) (-0.3, 0.0, 3.4) (1.0, -0.3, 0.1, 0.1) (0.0, 0.0, 0.0) False False 0 False False  (-1111.1, -1111.1, -1111.1) (-1111.1, -1111.1, -1111.1) (-0.29703, -0.02742, 3.42730) (0.95446, -0.26703, 0.10370, 0.08329) 1(1.0, 1.0, 1.0)Wood 1.02
(-12.6, -65.1, 49.9) (0.0, 0.0, 0.0) (0.3, 0.1, 0.1, 1.0) (-12.6, -65.1, 49.9) (-0.3, 0.0, 3.4) (1.0, -0.3, 0.1, 0.1) (0.0, 0.0, 0.0) False False 0 False False  (-1111.1, -1111.1, -1111.1) (-1111.1, -1111.1, -1111.1) (-0.29703, -0.02742, 3.42730) (0.95446, -0.26703, 0.10370, 0.08329) 1(1.0, 1.0, 1.0)Wood 1.04
(-12.6, -65.1, 49.9) (0.0, 0.0, 0.0) (0.3, 0.1, 0.1, 1.0) (-12.6, -65.1, 49.9) (-0.3, 0.0, 3.4) (1.0, -0.3, 0.1, 0.1) (0.0, 0.0, 0.0) False False 0 False False  (-1111.1, -1111.1, -1111.1) (-1111.1, -1111.1, -1111.1) (-0.29703, -0.02742, 3.42730) (0.95446, -0.26703, 0.10370, 0.08329) 1(1.0, 1.0, 1.0)Wood 1.06
(-12.6, -65.1, 49.9) (0.0, 0.0, 0.0) (0.3, 0.1, 0.1, 1.0) (-12.6, -65.1, 49.9) (-0.3, 0.0, 3.4) (1.0, -0.3, 0.1, 0.1) (0.0, 0.0, 0.0) False False 0 False False  (-1111.1, -1111.1, -1111.1) (-1111.1, -1111.1, -1111.1) (-0.29703, -0.02742, 3.42730) (0.95446, -0.26703, 0.10370, 0.08329) 1(1.0, 1.0, 1.0)Wood 1.08
(-12.6, -65.1, 49.9) (0.0, 0.0, 0.0) (0.3, 0.1, 0.1, 1.0) (-12.6, -65.1, 49.9) (-0.3, 0.0, 3.4) (1.0, -0.3, 0.1, 0.1) (0.0, 0.0, 0.0) False False 0 False False  (-1111.1, -1111.1, -1111.1) (-1111.1, -1111.1, -1111.1) (-0.29703, -0.02742, 3.42730) (0.95446, -0.26703, 0.10370, 0.08329) 1(1.0, 1.0, 1.0)Wood 1.1
(-12.6, -65.1, 49.9) (0.0, 0.0, 0.0) (0.3, 0.1, 0.1, 1.0) (-12.6, -65.1, 49.9) (-0.3, 0.0, 3.4) (1.0, -0.3, 0.1, 0.1) (0.0, 0.0, 0.0) False False 0 False False  (-1111.1, -1111.1, -1111.1) (-1111.1, -1111.1, -1111.1) (-0.29703, -0.02742, 3.42730) (0.95446, -0.26703, 0.10370, 0.08329) 1(1.0, 1.0, 1.0)Wood 1.12
(-12.6, -65.1, 49.9) (0.0, 0.0, 0.0) (0.3, 0.1, 0.1, 1.0) (-12.6, -65.1, 49.9) (-0.3, 0.0, 3.4) (1.0, -0.3, 0.1, 0.1) (0.0, 0.0, 0.0) False False 0 False False  (-1111.1, -1111.1, -1111.1) (-1111.1, -1111.1, -1111.1) (-0.29703, -0.02742, 3.42730) (0.95447, -0.26720, 0.10306, 0.08353) 1(1.0, 1.0, 1.0)Wood 1.14
(-12.6, -65.1, 49.9) (0.0, 0.0, 0.0) (0.3, 0.1, 0.1, 1.0) (-12.6, -65.1, 49.9) (-0.3, 0.0, 3.4) (1.0, -0.3, 0.1, 0.1) (0.0, 0.0, 0.0) False False 0 False False  (-1111.1, -1111.1, -1111.1) (-1111.1, -1111.1, -1111.1) (-0.29703, -0.02742, 3.42730) (0.95447, -0.26720, 0.10306, 0.08353) 1(1.0, 1.0, 1.0)Wood 1.159999
(-12.6, -65.1, 49.9) (0.0, 0.0, 0.0) (0.3, 0.1, 0.1, 1.0) (-12.6, -65.1, 49.9) (-0.3, 0.0, 3.4) (1.0, -0.3, 0.1, 0.1) (0.0, 0.0, 0.0) False False 0 False False  (-1111.1, -1111.1, -1111.1) (-1111.1, -1111.1, -1111.1) (-0.29703, -0.02742, 3.42730) (0.95446, -0.26703, 0.10370, 0.08329) 1(1.0, 1.0, 1.0)Wood 1.179999
(-12.6, -65.1, 49.9) (0.0, 0.0, 0.0) (0.3, 0.1, 0.1, 1.0) (-12.6, -65.1, 49.9) (-0.3, 0.0, 3.4) (1.0, -0.3, 0.1, 0.1) (0.0, 0.0, 0.0) False False 0 False False  (-1111.1, -1111.1, -1111.1) (-1111.1, -1111.1, -1111.1) (-0.29703, -0.02742, 3.42730) (0.95446, -0.26703, 0.10370, 0.08329) 1(1.0, 1.0, 1.0)Wood 1.199999
(-12.6, -65.1, 49.9) (0.0, 0.0, 0.0) (0.3, 0.1, 0.1, 1.0) (-12.6, -65.1, 49.9) (-0.3, 0.0, 3.4) (1.0, -0.3, 0.1, 0.1) (0.0, 0.0, 0.0) False False 0 False False  (-1111.1, -1111.1, -1111.1) (-1111.1, -1111.1, -1111.1) (-0.29703, -0.02742, 3.42730) (0.95447, -0.26720, 0.10306, 0.08353) 1(1.0, 1.0, 1.0)Wood 1.219999
(-12.6, -65.1, 49.9) (0.0, 0.0, 0.0) (0.3, 0.1, 0.1, 1.0) (-12.6, -65.1, 49.9) (-0.3, 0.0, 3.4) (1.0, -0.3, 0.1, 0.1) (0.0, 0.0, 0.0) False False 0 False False  (-1111.1, -1111.1, -1111.1) (-1111.1, -1111.1, -1111.1) (-0.29703, -0.02742, 3.42730) (0.95446, -0.26703, 0.10370, 0.08329) 1(1.0, 1.0, 1.0)Wood 1.239999
(-12.6, -65.1, 49.9) (0.0, 0.0, 0.0) (0.3, 0.1, 0.1, 1.0) (-12.6, -65.1, 49.9) (-0.3, 0.0, 3.4) (1.0, -0.3, 0.1, 0.1) (0.0, 0.0, 0.0) False False 0 False False  (-1111.1, -1111.1, -1111.1) (-1111.1, -1111.1, -1111.1) (-0.29703, -0.02742, 3.42730) (0.95447, -0.26720, 0.10306, 0.08353) 1(1.0, 1.0, 1.0)Wood 1.259999
(-12.6, -65.1, 49.9) (0.0, 0.0, 0.0) (0.3, 0.1, 0.1, 1.0) (-12.6, -65.1, 49.9) (-0.3, 0.0, 3.4) (1.0, -0.3, 0.1, 0.1) (0.0, 0.0, 0.0) False False 0 False False  (-1111.1, -1111.1, -1111.1) (-1111.1, -1111.1, -1111.1) (-0.29703, -0.02742, 3.42730) (0.95446, -0.26703, 0.10370, 0.08329) 1(1.0, 1.0, 1.0)Wood 1.279999
(-12.6, -65.1, 49.9) (0.0, 0.0, 0.0) (0.3, 0.1, 0.1, 1.0) (-12.6, -65.1, 49.9) (-0.3, 0.0, 3.4) (1.0, -0.3, 0.1, 0.1) (0.0, 0.0, 0.0) False False 0 False False  (-1111.1, -1111.1, -1111.1) (-1111.1, -1111.1, -1111.1) (-0.29703, -0.02742, 3.42730) (0.95446, -0.26703, 0.10370, 0.08329) 1(1.0, 1.0, 1.0)Wood 1.299999
(-12.6, -65.1, 49.9) (0.0, 0.0, 0.0) (0.3, 0.1, 0.1, 1.0) (-12.6, -65.1, 49.9) (-0.3, 0.0, 3.4) (1.0, -0.3, 0.1, 0.1) (0.0, 0.0, 0.0) False False 0 False False  (-1111.1, -1111.1, -1111.1) (-1111.1, -1111.1, -1111.1) (-0.29703, -0.02742, 3.42730) (0.95446, -0.26703, 0.10370, 0.08329) 1(1.0, 1.0, 1.0)Wood 1.319999
(-12.6, -65.1, 49.9) (0.0, 0.0, 0.0) (0.3, 0.1, 0.1, 1.0) (-12.6, -65.1, 49.9) (-0.3, 0.0, 3.4) (1.0, -0.3, 0.1, 0.1) (0.0, 0.0, 0.0) False False 0 False False  (-1111.1, -1111.1, -1111.1) (-1111.1, -1111.1, -1111.1) (-0.29703, -0.02742, 3.42730) (0.95446, -0.26703, 0.10370, 0.08329) 1(1.0, 1.0, 1.0)Wood 1.339999
(-12.6, -65.1, 49.9) (0.0, 0.0, 0.0) (0.3, 0.1, 0.1, 1.0) (-12.6, -65.1, 49.9) (-0.3, 0.0, 3.4) (1.0, -0.3, 0.1, 0.1) (0.0, 0.0, 0.0) False False 0 False False  (-1111.1, -1111.1, -1111.1) (-1111.1, -1111.1, -1111.1) (-0.29703, -0.02742, 3.42730) (0.95446, -0.26703, 0.10370, 0.08329) 1(1.0, 1.0, 1.0)Wood 1.359999
(-12.6, -65.1, 49.9) (0.0, 0.0, 0.0) (0.3, 0.1, 0.1, 1.0) (-12.6, -65.1, 49.9) (-0.3, 0.0, 3.4) (1.0, -0.3, 0.1, 0.1) (0.0, 0.0, 0.0) False False 0 False False  (-1111.1, -1111.1, -1111.1) (-1111.1, -1111.1, -1111.1) (-0.29703, -0.02742, 3.42730) (0.95446, -0.26703, 0.10370, 0.08329) 1(1.0, 1.0, 1.0)Wood 1.379999
